GeneSymbol	studyC_case01	studyC_case02	studyC_case03	studyC_case04	studyC_case05	studyC_case06	studyC_case07	studyC_case08	studyC_case09	studyC_case10	studyC_ctrl01	studyC_ctrl02	studyC_ctrl03	studyC_ctrl04	studyC_ctrl05	studyC_ctrl06	studyC_ctrl07	studyC_ctrl08	studyC_ctrl09
SYNTH0437	4.1699	4.2479	4.2479	4.3219	4.8580	4.6439	4.3219	4.1699	5.0444	5.2479	4.2479	3.1699	4.8580	4.9069	3.0000	3.7004	4.4594	NA	3.9069
SYNTH0438	9.5372	10.1459	9.5981	9.9816	9.7313	8.9542	10.3253	9.9233	10.3912	9.6055	9.6110	8.2240	9.5392	8.7108	9.4367	8.0875	8.6184	8.0112	9.0307
SYNTH0439	6.5236	8.2240	6.7682	5.6724	7.5774	6.7142	8.0821	6.5699	7.3309	6.9887	7.8948	7.1189	6.6582	8.1497	7.5999	7.3487	6.8455	5.9542	6.6147
SYNTH0440	3.7004	NA	4.8580	4.7004	2.8074	3.8074	4.8580	5.0000	3.4594	4.1699	4.8580	4.8580	5.5850	5.3576	4.0000	5.1293	5.8329	6.1699	6.1293
SYNTH0441	7.7879	5.6439	8.3399	7.3309	8.3531	7.9484	8.0056	7.6073	7.6865	6.9773	8.6073	6.6582	8.4346	7.2761	7.3038	7.3923	8.8978	7.3750	NA
SYNTH0442	5.3923	4.5236	5.2854	5.7549	6.0444	5.8826	3.7004	6.2479	5.1293	6.5078	5.8074	5.0444	5.1699	3.8074	5.7279	5.1293	5.3219	5.5850	5.0000
SYNTH0443	9.0279	8.4009	9.2503	9.4858	10.0566	10.0070	8.1497	8.8074	9.1241	8.4998	NA	8.0875	7.8265	7.6073	7.8948	7.9069	7.9830	8.3619	7.2095
SYNTH0444	5.8826	6.4094	5.3923	5.5546	6.1085	5.9069	6.0000	4.8580	5.2095	5.8329	4.0000	4.3219	4.5850	3.0000	4.0875	4.8580	3.7004	4.0875	3.4594
SYNTH0445	5.2479	4.8074	4.9542	5.0444	4.3219	4.7004	6.2288	4.3923	4.5236	5.3576	5.8329	4.4594	3.4594	5.5236	4.2479	5.2854	4.7004	5.7549	5.8826
SYNTH0446	8.9887	9.5078	9.1799	8.8765	8.5118	8.4094	8.2715	8.9830	8.9366	8.5507	9.2384	9.4898	7.6294	9.7194	8.7347	8.8074	8.4878	8.9484	9.0084
SYNTH0447	8.8041	9.0471	8.2854	8.6830	8.4136	8.0607	8.8734	9.0140	8.5850	8.0498	8.2288	8.2240	8.0334	NA	8.5774	9.0084	8.5275	9.2715	9.3443
SYNTH0448	5.2479	3.0000	4.5850	3.9069	4.2479	3.9069	4.0000	4.0000	4.7004	3.4594	6.0875	4.9542	5.8074	6.0444	6.3576	6.5699	5.3576	5.6147	6.8704
SYNTH0449	7.7549	8.9513	7.8948	7.6795	8.1137	7.3837	7.1997	8.4553	8.3354	8.3354	8.1396	7.7347	7.6073	7.5850	8.3663	8.0498	7.9773	7.9307	7.1898
SYNTH0450	6.7682	6.9542	6.9542	6.4919	7.4346	7.0000	7.2854	6.2095	6.1497	NA	NA	NA	NA	5.9542	5.8329	5.3576	6.4094	6.1699	6.6724
SYNTH0451	6.4094	5.3576	6.4263	6.5546	5.9773	6.6147	5.0875	6.0444	4.8074	5.5236	4.7549	4.1699	4.0875	5.5236	4.9542	4.9542	4.5850	5.1699	4.1699
SYNTH0452	5.5546	4.2479	5.4594	5.0875	5.2854	5.6724	6.2854	5.6724	5.4594	5.3576	5.5546	5.2854	5.9542	4.8580	3.3219	5.0875	5.7549	6.3399	4.9542
SYNTH0453	5.5850	4.5850	5.5850	6.1293	4.7549	5.2479	5.0444	5.4594	5.5546	5.9542	7.0224	6.8948	6.3219	5.8826	6.4919	7.1997	6.6582	6.9425	6.9542
SYNTH0454	NA	3.5850	2.3219	2.3219	3.0000	2.5850	2.0000	2.8074	3.0000	3.1699	2.8074	2.8074	3.1699	2.5850	2.3219	3.1699	3.3219	3.5850	2.3219
SYNTH0455	8.7814	8.8704	8.8887	8.5622	8.9484	8.0056	8.8234	8.0661	9.2264	7.6511	8.6330	9.0553	8.4221	8.2384	9.2336	7.7616	8.7313	7.2854	8.5314
SYNTH0456	6.1699	6.6147	5.6439	6.8455	4.3219	6.0661	5.9069	5.8826	5.3923	6.7682	6.4757	6.5546	5.4594	5.4919	5.2479	6.2095	6.8826	5.2854	6.4094
SYNTH0457	2.3219	3.7004	2.5850	3.4594	4.2479	2.0000	3.4594	4.0875	3.5850	2.5850	2.3219	2.5850	3.5850	3.9069	4.2479	3.1699	4.0000	3.0000	3.5850
SYNTH0458	4.8580	5.6439	5.4594	5.2095	5.3923	5.1699	5.8074	5.2095	5.6439	6.4594	5.8074	6.0661	6.3219	6.0444	5.2854	6.2479	6.3576	5.6724	5.1699
SYNTH0459	5.7279	6.9069	5.8329	6.1898	5.7279	6.4919	6.3038	6.5999	6.8455	5.9069	5.9307	5.8580	6.2288	6.0224	5.0875	5.6147	6.6724	5.6724	5.8329
SYNTH0460	6.3219	6.7814	7.1599	7.2288	6.8580	6.8826	6.9658	6.0444	6.8455	6.0224	7.8887	6.9307	NA	8.2574	8.3707	7.1599	8.1293	7.7616	7.9189
SYNTH0461	7.1898	7.4009	7.7748	7.1396	6.9069	7.8826	7.3663	6.1497	6.5236	5.8580	6.1293	7.7879	7.1085	7.1293	NA	6.2479	7.7074	7.2192	5.7549
SYNTH0462	6.8202	6.2668	6.6294	6.5392	6.2095	7.1189	6.6724	6.5850	5.6439	6.6439	6.0875	6.3399	6.1085	6.6294	6.9542	5.9307	6.9542	5.6147	5.0000
SYNTH0463	2.3219	3.3219	2.8074	3.1699	4.5850	3.1699	3.3219	4.3219	3.5850	3.5850	4.9069	4.0000	4.4594	5.0444	3.4594	3.9069	3.8074	4.1699	4.8074
SYNTH0464	5.6147	5.0444	5.5546	5.3923	6.1085	6.6439	5.8826	6.1293	5.4263	6.6724	5.5546	5.7549	5.4263	5.7004	5.8074	6.5236	6.4429	5.8074	5.7814
SYNTH0465	6.7415	5.8580	5.7814	5.9542	6.4919	6.4263	5.5546	6.7279	7.2574	5.7814	5.5236	6.0224	6.9069	7.1898	6.2288	6.0875	6.3923	6.0444	7.5774
SYNTH0466	6.8455	6.1699	6.0444	5.1699	6.5236	5.8580	5.9069	6.2288	5.4263	7.0000	7.2095	5.9069	5.6724	6.4919	5.7549	5.7004	5.2854	6.4094	5.3576
SYNTH0467	4.0000	3.3219	3.5850	3.4594	2.3219	4.3219	3.5850	3.7004	2.5850	3.1699	4.0875	2.8074	2.8074	4.7004	2.8074	3.1699	3.8074	4.8074	2.5850
SYNTH0468	5.3576	4.9542	5.7814	6.2854	5.1293	6.2095	5.0000	4.7549	4.9542	5.5236	6.1085	5.6147	5.7279	5.4594	4.2479	4.7549	5.2854	5.5850	5.0875
SYNTH0469	5.8329	4.5236	4.6439	5.4919	6.2854	6.5999	5.4594	5.6439	6.3399	5.9542	6.4594	7.0553	5.5546	7.8704	5.7814	6.1898	6.0224	5.6439	7.0875
SYNTH0470	2.3219	4.1699	3.8074	4.3219	5.0444	4.3219	5.1293	4.1699	3.8074	4.5236	5.6147	4.5850	4.8074	4.7004	4.4594	3.1699	4.4594	4.8074	4.0000
SYNTH0471	4.3923	3.7004	4.1699	4.2479	4.4594	4.2479	4.2479	3.1699	3.8074	3.1699	4.2479	4.0875	4.5850	4.1699	3.3219	3.5850	4.1699	4.7549	4.0875
SYNTH0472	8.3880	7.8948	7.7074	7.5622	7.0112	7.3038	7.8765	7.1293	6.6582	6.5546	7.2761	7.9658	6.7004	7.7415	7.3487	8.1085	6.1699	7.1699	7.6073
SYNTH0473	7.0553	7.1293	6.9069	8.2574	8.0168	6.2479	5.9069	6.8704	7.0661	7.4512	7.6511	8.6439	8.6618	9.1111	8.7879	7.6366	8.6402	8.6294	7.5925
SYNTH0474	6.8074	7.4594	7.4263	6.7279	7.4919	6.9307	7.8265	5.9773	6.7549	7.1497	6.6865	5.3219	6.0444	6.4263	6.8202	5.1699	6.1699	5.8074	5.8580
SYNTH0475	7.2384	8.6330	6.2095	8.3966	8.7616	8.2621	NA	7.3923	8.2946	8.4959	8.0334	8.8765	7.1599	7.2192	7.5469	8.3038	8.6257	8.3794	8.4757
SYNTH0476	4.1699	4.3219	5.0444	4.0000	4.8074	4.0875	4.0000	4.5236	4.2479	3.5850	3.5850	2.3219	4.0875	4.3923	3.5850	3.0000	4.1699	3.9069	4.0875
SYNTH0477	7.1799	8.0715	6.5546	7.5622	7.6511	6.8826	5.4594	7.4429	7.5546	7.1497	7.0334	8.1241	6.3750	6.8948	5.8329	7.3923	6.5850	8.1447	6.6439
SYNTH0478	9.0954	7.8580	7.9484	8.6475	8.4919	7.5850	8.1085	8.6795	8.7347	9.4533	7.3837	NA	7.8392	NA	9.1472	9.3129	8.3750	9.0980	8.9099
SYNTH0479	0.0000	4.3219	4.1699	4.5236	4.4594	4.9542	4.6439	3.7004	4.7549	3.5850	4.5850	3.9069	4.1699	3.3219	NA	5.6147	4.1699	4.5236	5.0875
SYNTH0480	4.3219	4.5850	5.4594	3.0000	6.0224	4.8074	5.8826	5.8329	5.2854	6.0875	5.8329	5.9307	4.2479	5.9307	5.4263	5.1293	NA	4.8074	4.6439
SYNTH0481	3.5850	4.0875	5.1699	5.2854	4.5850	4.9069	5.2854	5.0444	4.6439	5.5850	4.3923	4.1699	5.1699	5.2095	4.8580	3.8074	4.0875	3.7004	4.0875
SYNTH0482	5.3923	4.3219	5.4919	5.1699	5.4919	5.7279	5.7004	5.2095	5.2479	4.7004	5.1699	6.1497	5.7814	6.4429	4.8580	NA	5.6147	5.8074	5.2479
SYNTH0483	8.6653	10.4440	8.8765	9.5333	9.0498	9.4325	8.8517	9.7091	9.7004	8.5699	8.7846	8.3619	9.5755	9.1319	7.7879	10.0362	8.4263	9.3038	8.7108
SYNTH0484	4.5850	4.8580	4.5236	4.2479	4.5850	4.5236	4.3923	4.8074	5.4919	3.5850	5.0875	4.5236	4.3219	3.1699	2.8074	4.2479	4.5850	5.2479	4.0875
SYNTH0485	8.5118	8.5774	9.2527	9.5314	8.6511	9.7347	8.2192	8.8202	9.0362	8.3264	8.1447	8.3129	8.9039	8.2527	8.5196	9.4030	9.4221	7.6724	8.9396
SYNTH0486	6.3923	6.6439	6.2095	5.9069	6.3576	6.4263	6.6582	6.3038	5.6147	7.0224	6.2288	5.5546	6.4094	6.3750	4.3219	4.3923	5.7814	5.2095	6.0224
SYNTH0487	4.2479	3.9069	4.0875	3.1699	3.1699	2.8074	2.5850	3.9069	2.0000	3.1699	3.7004	3.4594	3.1699	0.0000	2.8074	3.8074	4.0000	3.8074	3.8074
SYNTH0488	6.3219	5.9773	6.7814	6.2479	5.6439	5.7549	6.5850	6.9307	5.4594	5.3576	6.4094	4.9542	5.6439	6.8074	6.5078	5.8580	6.1293	5.3219	6.2288
SYNTH0489	4.5850	4.3219	4.1699	5.3923	4.5850	5.2095	3.4594	5.3219	5.2854	5.2479	5.0444	4.8580	4.8074	4.9069	5.7004	4.9542	4.0875	5.4594	4.7004
SYNTH0490	3.4594	3.1699	3.4594	3.8074	4.2479	4.8074	4.4594	2.8074	3.8074	3.7004	4.5850	4.5236	4.0000	3.4594	3.8074	3.1699	2.8074	3.5850	4.4594
SYNTH0491	4.5850	4.0000	4.7004	4.4594	3.3219	4.3923	3.7004	4.0000	2.8074	4.9542	3.5850	4.1699	4.3219	4.4594	3.4594	4.3923	3.3219	2.8074	0.0000
SYNTH0492	3.9069	5.0444	5.3576	3.9069	4.3923	3.5850	4.2479	3.4594	2.5850	4.7549	3.3219	4.6439	4.3219	4.8074	4.1699	3.4594	3.0000	2.3219	4.0875
SYNTH0493	7.6439	7.4676	8.0112	7.3038	8.0279	7.8329	8.4798	7.7748	7.9600	7.4263	7.1997	6.8704	7.7415	7.6294	7.7814	7.2854	8.4094	6.9425	7.3219
SYNTH0494	NA	6.0224	6.6294	7.3219	6.3219	6.4757	5.9307	6.1293	6.0224	6.8580	6.7549	6.9069	5.5850	6.2854	6.1085	6.5078	6.8580	5.8329	6.3576
SYNTH0495	7.2854	6.9887	7.5157	7.2574	7.2479	6.3750	7.1699	7.2668	7.4429	7.7074	6.7814	6.9542	6.9658	6.4429	7.0875	6.7415	7.5999	7.4838	5.9773
SYNTH0496	9.1241	8.3619	8.8611	8.9366	7.0334	7.6935	7.5314	8.6795	8.1344	NA	7.7004	7.3309	8.4429	8.8202	8.3794	7.2854	6.9542	7.9069	7.2384
SYNTH0497	7.3837	6.5236	7.3923	5.6724	6.7415	6.7142	7.0112	6.9542	7.3129	8.3083	5.8580	6.1085	7.2288	6.2095	6.7142	5.4594	6.0875	6.1293	5.8329
SYNTH0498	9.4737	8.3309	8.6865	9.1189	8.3576	8.0980	9.0140	8.9366	9.3576	8.1189	8.7649	8.1033	7.5392	9.1599	8.9218	8.5078	7.8329	9.3219	9.0196
SYNTH0499	7.3750	7.6795	8.3837	8.6830	7.9830	8.2384	8.3174	8.8486	8.8857	8.2621	8.8265	8.1189	8.7142	8.8978	8.1085	9.6402	7.9129	8.4553	8.0553
